City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,vilyuchinsk,52.9306,158.4028,0.15,94,100,11.53,RU,1738779898
126,isafjordur,66.0755,-23.124,6.02,81,100,12.86,IS,1738779899
127,prienai,54.6333,23.95,-1.51,93,72,2.84,LT,1738779900
128,mildura,-34.2,142.15,24.27,33,0,4.41,AU,1738779901
129,nkhotakota,-12.9274,34.2961,24.11,85,55,0.7,MW,1738779902
130,puerto aysen,-45.4,-72.7,12.32,100,100,2.08,CL,1738779903
131,at-bashi,41.1702,75.8106,-17.63,70,46,1.31,KG,1738779905
132,lata,40.1629,-8.3327,9.24,67,3,1.55,PT,1738779906
133,shenjiamen,29.9576,122.298,3.75,66,26,5.25,CN,1738779907
134,wailua homesteads,22.0669,-159.378,17.44,88,40,2.06,US,1738779908
135,ushuaia,-54.8,-68.3,12.81,58,75,3.09,AR,1738779848
136,hasaki,35.7333,140.8333,3.37,34,8,8.61,JP,1738779910
137,hilo,19.7297,-155.09,21.17,88,78,0.45,US,1738779912
138,sergeyevka,53.88,67.4158,-9.32,96,77,3.51,KZ,1738779913
139,essaouira,31.5125,-9.77,19.72,52,0,4.63,MA,1738779914
140,korla,41.7597,86.1469,-7.61,72,100,0.7,CN,1738779915
141,bodo,67.28,14.405,3.21,93,75,8.75,NO,1738779914
142,tolanaro,-25.0319,46.9987,26.16,90,8,4.7,MG,1738779917
143,kuala belait,4.5833,114.1833,25.11,91,96,4.0,BN,1738779918
144,tol'yatti,53.5303,49.3461,-8.35,91,100,2.25,RU,1738779919
145,labytnangi,66.6572,66.4183,-20.41,99,97,2.58,RU,1738779623
146,lorengau,-2.0226,147.2712,27.04,79,100,2.3,PG,1738779922
147,ust-nera,64.5667,143.2,-41.11,98,58,1.93,RU,1738779923
148,santa vitoria,-18.8386,-50.1214,27.91,64,100,3.19,BR,1738779924
149,port saint john's,-31.6229,29.5448,23.06,93,100,3.72,ZA,1738779925
150,pacific grove,36.6177,-121.9166,11.61,73,0,4.47,US,1738779926
151,san juan,-31.5375,-68.5364,33.32,24,0,5.89,AR,1738779743
152,nadi,-17.8,177.4167,24.0,100,75,3.6,FJ,1738779928
153,qarazhal,48.0078,70.7903,-11.94,83,5,6.51,KZ,1738779930
154,porto novo,6.4965,2.6036,28.21,78,57,4.39,BJ,1738779931
155,katsuura,35.1333,140.3,3.09,59,26,10.1,JP,1738779932
156,tarko-sale,64.9225,77.785,-18.54,100,86,3.12,RU,1738779933
157,lihue,21.9789,-159.3672,17.77,88,40,2.06,US,1738779934
158,queenstown,-31.8976,26.8753,17.46,86,99,4.92,ZA,1738779936
159,alotau,-10.3069,150.4462,25.24,90,95,2.3,PG,1738779937
160,byron bay,-28.65,153.6167,21.28,89,93,1.36,AU,1738779939
161,thompson,55.7435,-97.8558,-16.91,66,75,4.63,CA,1738779940
162,caibarien,22.5206,-79.4669,25.39,65,63,8.12,CU,1738779941
163,canasgordas,6.7499,-76.0254,23.77,70,96,2.02,CO,1738779943
164,weno,7.4515,151.8468,26.97,83,75,3.09,FM,1738779945
165,arteche,12.2645,125.4048,24.68,92,97,3.61,PH,1738779946
166,saint joseph,39.7686,-94.8466,0.12,90,100,3.6,US,1738779947
167,mejit,10.2753,170.8646,26.34,85,100,9.49,MH,1738779948
168,kodiak,57.79,-152.4072,-6.27,86,0,2.06,US,1738779949
169,mahina,-17.5065,-149.489,29.87,66,46,2.06,PF,1738779950
170,sitka,57.0531,-135.33,-1.06,69,0,2.06,US,1738779771
171,port alberni,49.2413,-124.8028,-2.26,86,100,1.79,CA,1738779953
172,gamba,-2.65,10.0,26.35,88,91,2.73,GA,1738779733
173,machali,-34.1833,-70.6667,29.6,25,0,5.14,CL,1738779955
